contestant,series,round,episode,tech_rank_scaled,sig_sum,showstopper_sum,tech_rank,n_remaining,series_winner,eliminated_round,baker_id,signature_bake,signature_flavor,signature_looks,first_half_review,showstopper_bake,showstopper_flavor,showstopper_looks,second_half_review,star_baker,eliminated,sig_ss_sum,season,gender,age,occupation,hometown
Dan,6,5,6.5,2.25,-2,0,2,9,0,6,6.Dan,-1,0,-1,NA,0,-1,1,NA,0,0,-2,9,M,36,Stay at home parent,London
Jon,6,5,6.5,-1.5,1,1,7,9,0,7,6.Jon,-1,1,1,NA,1,1,-1,-1,0,0,2,9,M,47,Blood courier,Newport
Karen,6,5,6.5,-3,-2,-1,9,9,0,5,6.Karen,-1,-1,0,-1,0,-1,0,-1,0,1,-3,9,F,60,In-store sampling assistant,Wakefield
Kim-Joy,6,5,6.5,0.75,3,3,4,9,0,10,6.Kim-Joy,1,1,1,1,1,1,1,1,1,0,6,9,F,27,Mental health specialist,Leeds
Manon,6,5,6.5,0,3,1,5,9,0,8,6.Manon,1,1,1,1,1,-1,1,NA,0,0,4,9,F,26,Software project manager,London
Rahul,6,5,6.5,1.5,3,3,3,9,1,10,6.Rahul,1,1,1,1,1,1,1,1,0,0,6,9,M,30,Research scientist,Rotherham
Ruby,6,5,6.5,3,2,1,1,9,0,10,6.Ruby,1,0,1,1,1,0,0,NA,0,0,3,9,F,29,Project manager,London
Terry,6,5,6.5,-2.25,-3,-3,8,9,0,5,6.Terry,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-6,9,M,56,Retired air steward,West Midlands
Briony,6,6,6.6,3,2,1,1,7,0,9,6.Briony,1,0,1,1,1,-1,1,1,1,0,3,9,F,33,Stay at home parent,Bristol
Dan,6,6,6.6,-2,0,1,6,7,0,6,6.Dan,-1,1,0,-1,-1,1,1,-1,0,1,1,9,M,36,Stay at home parent,London
Jon,6,6,6.6,2,0,-1,2,7,0,7,6.Jon,-1,1,0,NA,-1,1,-1,NA,0,0,-1,9,M,47,Blood courier,Newport
Kim-Joy,6,6,6.6,-0.9999999999999998,2,1,5,7,0,10,6.Kim-Joy,1,1,0,NA,-1,1,1,NA,0,0,3,9,F,27,Mental health specialist,Leeds
