season,contestant,gender,age,occupation,hometown,round,technical,series
13,Carole,F,59,Supermarket cashier,Dorset,4,10,10
13,Dawn,F,60,IT manager,Bedfordshire,4,5,10
13,James,M,25,Nuclear scientist,Cumbria,4,8,10
13,Janusz,M,34,Personal assistant to head teacher,East Sussex,4,7,10
13,Kevin,M,33,Music teacher,Lanarkshire,4,4,10
13,Maxy,F,29,Architectural assistant,London,4,1,10
13,Rebs,F,23,Masters student,County Antrim,4,9,10
13,Sandro,M,30,Nanny,London,4,3,10
13,Syabira,F,32,Cardiovascular research associate,London,4,2,10
13,Abdul,M,29,Electronics engineer,London,5,2,10
13,Carole,F,59,Supermarket cashier,Dorset,5,6,10
13,Dawn,F,60,IT manager,Bedfordshire,5,7,10
13,Janusz,M,34,Personal assistant to head teacher,East Sussex,5,1,10
13,Kevin,M,33,Music teacher,Lanarkshire,5,5,10
13,Maxy,F,29,Architectural assistant,London,5,3,10
13,Sandro,M,30,Nanny,London,5,4,10
13,Syabira,F,32,Cardiovascular research associate,London,5,8,10
13,Abdul,M,29,Electronics engineer,London,6,7,10
13,Dawn,F,60,IT manager,Bedfordshire,6,5,10
13,Janusz,M,34,Personal assistant to head teacher,East Sussex,6,2,10
13,Kevin,M,33,Music teacher,Lanarkshire,6,3,10
13,Maxy,F,29,Architectural assistant,London,6,6,10
13,Sandro,M,30,Nanny,London,6,4,10
13,Syabira,F,32,Cardiovascular research associate,London,6,1,10
13,Abdul,M,29,Electronics engineer,London,7,4,10
13,Janusz,M,34,Personal assistant to head teacher,East Sussex,7,5,10
13,Kevin,M,33,Music teacher,Lanarkshire,7,3,10
13,Maxy,F,29,Architectural assistant,London,7,2,10
13,Sandro,M,30,Nanny,London,7,1,10
13,Syabira,F,32,Cardiovascular research associate,London,7,6,10
13,Abdul,M,29,Electronics engineer,London,8,3,10
13,Janusz,M,34,Personal assistant to head teacher,East Sussex,8,2,10
13,Maxy,F,29,Architectural assistant,London,8,5,10
13,Sandro,M,30,Nanny,London,8,1,10
13,Syabira,F,32,Cardiovascular research associate,London,8,4,10
13,Abdul,M,29,Electronics engineer,London,9,2,10
13,Janusz,M,34,Personal assistant to head teacher,East Sussex,9,3,10
13,Sandro,M,30,Nanny,London,9,4,10
13,Syabira,F,32,Cardiovascular research associate,London,9,1,10
13,Abdul,M,29,Electronics engineer,London,10,1,10
13,Sandro,M,30,Nanny,London,10,3,10
13,Syabira,F,32,Cardiovascular research associate,London,10,2,10
